nome_planeta,categoria_original,categoria_predita,previsao_correta
Kepler-1438 b,Terrestre,Terrestre,True
Kepler-135 c,Terrestre,Terrestre,True
HAT-P-39 b,Terrestre,Terrestre,True
Kepler-1360 b,Terrestre,Terrestre,True
Kepler-160 b,Terrestre,Terrestre,True
Kepler-454 d,Terrestre,Terrestre,True
Kepler-1471 c,Terrestre,Terrestre,True
Kepler-1134 b,Terrestre,Terrestre,True
HD 13189 b,Terrestre,Terrestre,True
HIP 67851 c,Terrestre,Terrestre,True
WASP-46 b,Terrestre,Terrestre,True
WASP-77 A b,Terrestre,Terrestre,True
L 98-59 d,Terrestre,Terrestre,True
Kepler-477 b,Terrestre,Terrestre,True
HIP 74890 b,Terrestre,Terrestre,True
TOI-700 d,Terrestre,Terrestre,True
Kepler-941 b,Terrestre,Terrestre,True
HD 20794 e,Terrestre,Terrestre,True
Kepler-55 c,Terrestre,Terrestre,True
TOI-5027 b,Terrestre,Terrestre,True
GJ 3473 c,Terrestre,Terrestre,True
HD 40307 d,Terrestre,Terrestre,True
HD 38529 c,Terrestre,Terrestre,True
Kepler-127 c,Terrestre,Terrestre,True
HD 215152 b,Terrestre,Terrestre,True
Kepler-650 b,Terrestre,Terrestre,True
Kepler-218 c,Terrestre,Terrestre,True
TOI-1742 b,Terrestre,Terrestre,True
Kepler-891 b,Terrestre,Terrestre,True
Qatar-6 b,Terrestre,Terrestre,True
Kepler-210 c,Terrestre,Terrestre,True
TOI-1136 d,Terrestre,Terrestre,True
HD 108236 c,Terrestre,Terrestre,True
Kepler-925 b,Terrestre,Terrestre,True
Kepler-1841 b,Terrestre,Terrestre,True
Kepler-692 b,Terrestre,Terrestre,True
EPIC 220674823 b,Terrestre,Terrestre,True
Kepler-378 b,Terrestre,Terrestre,True
YZ Cet c,Terrestre,Terrestre,True
TOI-451 c,Terrestre,Terrestre,True
L 98-59 b,Terrestre,Terrestre,True
Kepler-80 b,Terrestre,Terrestre,True
TOI-712 b,Terrestre,Terrestre,True
WASP-97 b,Terrestre,Terrestre,True
Kepler-270 c,Terrestre,Terrestre,True
Kepler-1092 b,Terrestre,Terrestre,True
Kepler-262 b,Terrestre,Terrestre,True
Kepler-1629 b,Terrestre,Terrestre,True
HD 285507 b,Terrestre,Terrestre,True
Kepler-741 b,Terrestre,Terrestre,True
Kepler-230 c,Terrestre,Terrestre,True
Kepler-218 b,Terrestre,Terrestre,True
K2-21 c,Terrestre,Terrestre,True
Kepler-1347 b,Terrestre,Terrestre,True
HD 99109 b,Terrestre,Terrestre,True
Kepler-151 c,Terrestre,Terrestre,True
TOI-163 b,Terrestre,Terrestre,True
Kepler-550 b,Terrestre,Terrestre,True
Kepler-713 b,Terrestre,Terrestre,True
Kepler-1216 b,Terrestre,Terrestre,True
Kepler-1983 b,Terrestre,Terrestre,True
TOI-3884 b,Terrestre,Terrestre,True
Kepler-341 d,Terrestre,Terrestre,True
Kepler-1260 b,Terrestre,Terrestre,True
HIP 8152 b,Terrestre,Terrestre,True
Pr0211 b,Terrestre,Terrestre,True
Kepler-1075 b,Terrestre,Terrestre,True
Kepler-275 c,Terrestre,Terrestre,True
Kepler-430 b,Terrestre,Terrestre,True
TOI-1288 c,Terrestre,Terrestre,True
Kepler-1254 c,Terrestre,Terrestre,True
WASP-175 b,Terrestre,Terrestre,True
WASP-103 b,Terrestre,Terrestre,True
HD 181433 c,Terrestre,Terrestre,True
HAT-P-16 b,Terrestre,Terrestre,True
Kepler-1076 b,Terrestre,Terrestre,True
Kepler-1225 b,Terrestre,Terrestre,True
HD 103949 b,Terrestre,Terrestre,True
Kepler-897 b,Terrestre,Terrestre,True
Kepler-364 b,Terrestre,Terrestre,True
TOI-1439 b,Terrestre,Terrestre,True
GJ 1265 b,Terrestre,Terrestre,True
Kepler-742 b,Terrestre,Terrestre,True
Kepler-47 b,Terrestre,Terrestre,True
Kepler-998 b,Terrestre,Terrestre,True
HAT-P-26 b,Terrestre,Terrestre,True
Kepler-46 d,Terrestre,Terrestre,True
Kepler-1145 b,Terrestre,Terrestre,True
K2-203 b,Terrestre,Terrestre,True
Kepler-836 b,Terrestre,Terrestre,True
WASP-107 b,Terrestre,Terrestre,True
Kepler-253 d,Terrestre,Terrestre,True
Kepler-398 c,Terrestre,Terrestre,True
Kepler-812 b,Terrestre,Terrestre,True
Kepler-719 b,Terrestre,Terrestre,True
TOI-1670 c,Terrestre,Terrestre,True
HD 145377 b,Terrestre,Terrestre,True
GJ 667 C e,Terrestre,Terrestre,True
Kepler-1821 b,Terrestre,Terrestre,True
HD 153950 b,Terrestre,Terrestre,True
Kepler-1578 b,Terrestre,Terrestre,True
