nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
Kepler-1372 b,65.97474899983146,127000000.0,215000000.0,0.024
Kepler-1374 b,50.512635019719426,229000000.0,586000000.0,0.0918
Kepler-1375 b,59.67055297911433,174000000.0,368000000.0,0.0471
Kepler-1376 b,68.08157321115142,105000000.0,116000000.0,0.0598
Kepler-1377 b,66.52615467269001,125000000.0,210000000.0,0.0153
Kepler-1378 b,51.42286579096526,220000000.0,548000000.0,0.0885
Kepler-1379 b,65.93922518219362,130000000.0,224000000.0,0.0171
Kepler-138 b,77.30167883112908,0.64,0.07,0.0753
Kepler-138 c,61.50013048487844,151000000.0,230000000.0,0.0913
Kepler-138 d,59.19043137158919,151000000.0,210000000.0,0.1288
Kepler-138 e,66.38386588541519,0.797,0.43,0.1803
Kepler-1380 b,61.82332725335637,143000000.0,263000000.0,0.0917
Kepler-1381 b,47.412799487644435,225000000.0,569000000.0,0.1728
Kepler-1384 b,54.08726179609958,194000000.0,442000000.0,0.1126
Kepler-1386 b,64.97678220586681,124000000.0,207000000.0,0.068
Kepler-1387 b,78.70878625075453,0.93,0.749,0.031
Kepler-1388 b,45.871271510620026,259000000.0,722000000.0,0.0882
Kepler-1388 c,52.19553743104916,226000000.0,573000000.0,0.0519
Kepler-1388 d,39.76421912946294,286000000.0,855000000.0,0.126
Kepler-1388 e,41.44313191697072,246000000.0,662000000.0,0.1861
Kepler-1390 b,65.94072589895904,118000000.0,176000000.0,0.0662
Kepler-1392 b,53.87436382990762,196000000.0,450000000.0,0.1189
Kepler-1393 b,78.66814873834205,0.8,0.437,0.0337
Kepler-1396 b,51.638676222793805,207000000.0,494000000.0,0.1406
Kepler-1399 b,66.12024083181296,125000000.0,210000000.0,0.0276
Kepler-140 b,61.34006579869825,161000000.0,322000000.0,0.045
Kepler-1400 b,59.76631572876827,162000000.0,326000000.0,0.0771
Kepler-1401 b,58.48941860596892,168000000.0,346000000.0,0.0975
Kepler-1402 b,78.7696360419945,0.76,0.363,0.0322
Kepler-1403 b,53.92804426498494,214000000.0,522000000.0,0.064
Kepler-1404 b,53.00909411716148,201000000.0,470000000.0,0.1143
Kepler-1405 b,21.78368357746875,396000000.0,1490000000.0,0.1778
Kepler-1406 b,65.83274524815386,110000000.0,137000000.0,0.0987
Kepler-1407 b,48.72892202784372,225000000.0,569000000.0,0.1502
Kepler-141 b,78.50364403526699,0.69,0.257,0.039
Kepler-141 c,62.88110508977391,141000000.0,257000000.0,0.067
Kepler-1410 b,49.98004366219587,178000000.0,382000000.0,0.2543
Kepler-1413 b,56.19264761296595,182000000.0,397000000.0,0.1066
Kepler-1414 b,65.89553282819229,123000000.0,204000000.0,0.0426
Kepler-1416 b,78.90308578618757,0.88,0.615,0.0257
Kepler-1418 b,55.9503055306782,166000000.0,339000000.0,0.131
Kepler-1419 b,34.955471535701,286000000.0,855000000.0,0.2391
Kepler-142 b,56.72189098718244,199000000.0,462000000.0,0.032
Kepler-142 c,43.77594134435219,286000000.0,855000000.0,0.057
Kepler-142 d,44.93334358709825,216000000.0,531000000.0,0.242
Kepler-1420 b,64.51992908580907,128000000.0,218000000.0,0.0671
Kepler-1422 b,52.212887860856924,202000000.0,474000000.0,0.1499
Kepler-1423 b,63.328701843085994,106000000.0,120000000.0,0.1586
Kepler-1426 b,59.24292618073813,156000000.0,305000000.0,0.1187
Kepler-1427 b,68.71340122791307,110000000.0,137000000.0,0.0197
Kepler-1429 b,64.94840558846656,129000000.0,221000000.0,0.055
Kepler-143 b,47.5106724587645,241000000.0,639000000.0,0.127
Kepler-143 c,30.441493426993432,337000000.0,1130000000.0,0.181
Kepler-1430 b,66.93645505937417,118000000.0,176000000.0,0.0304
Kepler-1431 b,62.430053667075484,147000000.0,276000000.0,0.0648
Kepler-1432 b,48.19320870394586,222000000.0,556000000.0,0.1696
Kepler-1433 b,61.74986956902405,156000000.0,305000000.0,0.0516
Kepler-1436 b,63.41486670920368,131000000.0,227000000.0,0.0907
Kepler-1437 b,62.39088600115798,137000000.0,245000000.0,0.0951
Kepler-1438 b,78.69890417410313,0.94,0.779,0.0346
Kepler-1439 b,62.003264553027506,146000000.0,273000000.0,0.0594
Kepler-144 b,64.12096137637154,133000000.0,233000000.0,0.066
Kepler-144 c,62.83549333691957,135000000.0,239000000.0,0.094
Kepler-1441 b,56.04883964724328,131000000.0,227000000.0,0.2346
Kepler-1447 b,34.364868874373165,290000000.0,875000000.0,0.2836
Kepler-1448 b,59.10659914375691,161000000.0,322000000.0,0.1058
Kepler-1449 b,57.987359037324595,168000000.0,346000000.0,0.1176
Kepler-1450 b,50.87603119573499,171000000.0,357000000.0,0.2401
Kepler-1451 b,28.621404098508144,335000000.0,1120000000.0,0.2101
Kepler-1453 b,37.74707746462979,267000000.0,761000000.0,0.262
Kepler-1454 b,48.68237426979625,188000000.0,419000000.0,0.2447
Kepler-1455 b,44.93334358709825,216000000.0,531000000.0,0.2149
Kepler-1456 b,63.657466632600936,114000000.0,155000000.0,0.1132
Kepler-1459 b,55.21840173964598,136000000.0,242000000.0,0.2829
Kepler-146 b,23.998924438063625,371000000.0,1330000000.0,0.2
Kepler-1460 b,50.202707628892234,196000000.0,450000000.0,0.1614
Kepler-1461 b,49.417507207039755,203000000.0,478000000.0,0.1715
Kepler-1463 b,52.70431125168989,186000000.0,412000000.0,0.1694
Kepler-1465 b,52.22983521049108,177000000.0,378000000.0,0.1939
Kepler-1467 b,28.25249157541785,330000000.0,1090000000.0,0.2388
Kepler-1468 b,58.58089152772655,173000000.0,364000000.0,0.0817
Kepler-1468 c,67.12439134573063,115000000.0,160000000.0,0.0466
Kepler-1468 d,32.87317207635934,333187146.0,1110000000.0,0.1456
Kepler-1469 b,40.42551921037457,280000000.0,825000000.0,0.1466
Kepler-147 b,60.01100694290513,153000000.0,296000000.0,0.113
Kepler-147 c,42.916751217138945,243000000.0,648000000.0,0.216
Kepler-1470 b,65.09235221850473,107000000.0,124000000.0,0.116
Kepler-1471 b,63.71629346866765,141000000.0,257000000.0,0.0453
Kepler-1471 c,55.80780461480962,188000000.0,419000000.0,0.0981
Kepler-1472 b,48.969014238310955,190000000.0,427000000.0,0.2322
Kepler-1474 b,45.90837086434307,216000000.0,531000000.0,0.2108
Kepler-1476 b,58.81813723499393,167000000.0,343000000.0,0.0932
