nome_planeta,similaridade_terra,pl_rade,pl_bmasse,pl_orbsmax
Kepler-33 b,73.4418656138353,174000000.0,368000000.0,0.0677
Kepler-330 b,74.09790958815246,135000000.0,239000000.0,0.075
Kepler-330 c,71.32347706521702,195000000.0,446000000.0,0.116
Kepler-331 b,72.80538702433529,182000000.0,397000000.0,0.065
Kepler-331 c,71.42511329274006,184000000.0,404000000.0,0.105
Kepler-331 d,69.73396112808182,164000000.0,333000000.0,0.159
Kepler-332 b,74.68472943472852,117000000.0,171000000.0,0.07
Kepler-332 c,73.65461862371988,109000000.0,132000000.0,0.114
Kepler-332 d,70.66019654996978,118000000.0,176000000.0,0.189
Kepler-333 b,70.77257378737029,132000000.0,2820000000.0,0.087
